terminal,BT-01,BT-03,BT-04,BT-05,CBD-13,CBD-03,CBD-07,SLU-16,CBD-06,CH-01,CH-02,CH-03,CH-05,CH-06,CH-07,CH-08,CH-09,CH-12,CH-15,DPD-01,DPD-03,EL-01,EL-03,EL-05,FH-01,FH-04,ID-04,PS-05,PS-04,SLU-01,SLU-02,SLU-04,SLU-07,SLU-15,SLU-17,SLU-18,SLU-19,UD-01,UD-02,UD-04,UD-07,UW-01,UW-02,UW-04,UW-06,UW-07,UW-10,WF-01,WF-04,CBD-05,CD-01,SLU-20,CBD-04,SLU-21,Pronto shop
UD-07,9234.0,9594.0,8802.0,9190.0,7214.0,6728.0,7785.0,6253.0,7539.0,5570.0,5096.0,5037.0,5645.0,5698.0,6325.0,5935.0,5909.0,6026.0,5079.0,7733.0,3608.0,8064.0,3869.0,1770.0,7017.0,6745.0,8652.0,8597.0,8257.0,5262.0,7138.0,7971.0,8448.0,9150.0,7772.0,8608.0,9140.0,2052.0,689.0,767.0,0.0,1042.0,1112.0,1066.0,1620.0,2410.0,1722.0,14559.0,8073.0,8024.0,7639.0,6320.0,7378.0,5681.0,6554.0
UW-01,9616.0,9976.0,9184.0,9571.0,10394.0,10106.0,10965.0,6966.0,10718.0,6283.0,5809.0,5750.0,5562.0,6411.0,6242.0,6648.0,6622.0,6739.0,5792.0,8115.0,3090.0,8446.0,4582.0,2483.0,7729.0,7131.0,9049.0,11777.0,11437.0,5974.0,7520.0,8353.0,8830.0,9532.0,8154.0,8990.0,9522.0,1555.0,1027.0,1488.0,1042.0,0.0,610.0,1133.0,662.0,1228.0,2022.0,14941.0,15970.0,8699.0,8609.0,6995.0,8053.0,6356.0,7229.0
UW-02,9008.0,9368.0,8576.0,8963.0,9785.0,9498.0,10357.0,6339.0,10110.0,5657.0,5182.0,5123.0,5889.0,5784.0,6569.0,6021.0,5995.0,6113.0,5165.0,7507.0,3407.0,7838.0,3955.0,1856.0,7103.0,6831.0,9375.0,11169.0,10829.0,5348.0,6912.0,7744.0,8221.0,8923.0,7546.0,8381.0,8914.0,1871.0,394.0,775.0,1112.0,610.0,0.0,725.0,979.0,1545.0,1379.0,14108.0,8081.0,8031.0,8941.0,6328.0,7386.0,5689.0,6562.0
UW-04,8400.0,8760.0,7968.0,8355.0,9177.0,8890.0,9749.0,5826.0,9502.0,5143.0,4668.0,4610.0,5217.0,5270.0,5897.0,5508.0,5481.0,5599.0,4651.0,6899.0,4324.0,7230.0,3441.0,1343.0,6589.0,6317.0,8225.0,10561.0,10221.0,4834.0,6304.0,7136.0,7613.0,8315.0,6938.0,7773.0,8306.0,2789.0,399.0,347.0,1066.0,1133.0,725.0,0.0,715.0,1388.0,713.0,13725.0,7615.0,7566.0,7182.0,5863.0,6921.0,5224.0,6097.0
UW-06,8954.0,9314.0,8522.0,8909.0,9732.0,9444.0,10303.0,9083.0,10056.0,5857.0,5501.0,5324.0,4900.0,5451.0,5580.0,6340.0,6314.0,6313.0,5484.0,7453.0,4158.0,7784.0,4156.0,2057.0,7303.0,6469.0,8387.0,11115.0,10775.0,5548.0,6858.0,7691.0,8168.0,8869.0,7492.0,8327.0,8860.0,2623.0,1114.0,1062.0,1620.0,662.0,979.0,715.0,0.0,662.0,1360.0,14279.0,15308.0,8273.0,7947.0,6569.0,9743.0,8416.0,8458.0
UW-07,9228.0,9588.0,8796.0,9184.0,10006.0,9718.0,10577.0,9358.0,10331.0,6388.0,5811.0,5855.0,5210.0,5762.0,5890.0,6650.0,6624.0,6845.0,5794.0,7727.0,3380.0,8058.0,4687.0,2588.0,7835.0,6779.0,8697.0,11389.0,11049.0,8846.0,7132.0,7965.0,8442.0,9144.0,7766.0,8602.0,9134.0,1845.0,1738.0,1685.0,2410.0,1228.0,1545.0,1388.0,662.0,0.0,1541.0,14553.0,15582.0,11388.0,8257.0,7201.0,10018.0,8690.0,9459.0
UW-10,8485.0,8845.0,8052.0,8440.0,9262.0,8974.0,9833.0,8614.0,9587.0,5662.0,5188.0,5129.0,5214.0,5790.0,5894.0,6027.0,6001.0,6119.0,5171.0,6983.0,4478.0,7315.0,3961.0,1862.0,7109.0,6837.0,8700.0,10646.0,10306.0,8102.0,6388.0,7221.0,7698.0,8400.0,7022.0,7858.0,8390.0,2943.0,1050.0,896.0,1722.0,2022.0,1379.0,713.0,1360.0,1541.0,0.0,13810.0,14838.0,10644.0,7697.0,6413.0,9274.0,7946.0,7988.0
WF-01,771.0,831.0,1480.0,1337.0,1547.0,2272.0,2618.0,2245.0,2165.0,3158.0,3835.0,3642.0,4318.0,3774.0,3792.0,3336.0,3045.0,2690.0,4397.0,2289.0,17490.0,3947.0,4947.0,6973.0,3192.0,4090.0,3181.0,2848.0,2420.0,2788.0,3350.0,2285.0,2050.0,1892.0,3643.0,1641.0,1787.0,15955.0,13887.0,13268.0,14559.0,14941.0,14108.0,13725.0,14279.0,14553.0,13810.0,0.0,1210.0,1976.0,3482.0,2322.0,2407.0,2170.0,1637.0
WF-04,1800.0,1379.0,2028.0,1350.0,867.0,1717.0,1303.0,1925.0,909.0,2838.0,3516.0,3322.0,3998.0,3454.0,3472.0,3016.0,2725.0,2370.0,4077.0,2805.0,18518.0,3588.0,4129.0,6155.0,2568.0,3575.0,1866.0,1533.0,1105.0,2254.0,4379.0,2801.0,2130.0,1358.0,3285.0,2158.0,2816.0,16983.0,7703.0,7305.0,8073.0,15970.0,8081.0,7615.0,15308.0,15582.0,14838.0,1210.0,0.0,774.0,2280.0,2367.0,1194.0,3348.0,2471.0
CBD-05,2168.0,1746.0,1947.0,1301.0,826.0,1082.0,555.0,1555.0,273.0,2468.0,3145.0,2951.0,3627.0,3083.0,3101.0,2645.0,2355.0,1999.0,3706.0,2756.0,13597.0,3539.0,4080.0,6106.0,1159.0,3173.0,1464.0,1131.0,508.0,2205.0,3125.0,2752.0,2080.0,1309.0,3236.0,2109.0,2760.0,12062.0,7654.0,7256.0,8024.0,8699.0,8031.0,7566.0,8273.0,11388.0,10644.0,1976.0,774.0,0.0,1717.0,1967.0,794.0,2948.0,2071.0
CD-01,3630.0,3207.0,3642.0,2762.0,2288.0,2875.0,1334.0,2628.0,1735.0,2946.0,2546.0,3036.0,2373.0,1829.0,1847.0,1585.0,1889.0,2235.0,2452.0,4173.0,11194.0,4452.0,5418.0,6365.0,1402.0,804.0,1120.0,1567.0,1353.0,3543.0,4856.0,4170.0,3418.0,3303.0,4653.0,3724.0,4221.0,9659.0,7270.0,6872.0,7639.0,8609.0,8941.0,7182.0,7947.0,8257.0,7697.0,3482.0,2280.0,1717.0,0.0,3187.0,2259.0,4326.0,3646.0
SLU-20,1855.0,1807.0,1489.0,1363.0,1366.0,882.0,1937.0,559.0,1691.0,763.0,1439.0,1290.0,2631.0,2087.0,2105.0,1650.0,1359.0,1003.0,1987.0,1527.0,10138.0,1434.0,2377.0,4403.0,1603.0,2404.0,2747.0,2749.0,2409.0,502.0,2210.0,1154.0,772.0,844.0,1394.0,1154.0,2472.0,8603.0,5951.0,5553.0,6320.0,6995.0,6328.0,5863.0,6569.0,7201.0,6413.0,2322.0,2367.0,1967.0,3187.0,0.0,1058.0,1483.0,803.0
CBD-04,1793.0,1371.0,1252.0,926.0,452.0,292.0,763.0,763.0,520.0,1676.0,2353.0,2159.0,2835.0,2325.0,2309.0,1854.0,1563.0,1208.0,2948.0,2113.0,12954.0,2896.0,3435.0,5461.0,1188.0,2123.0,1573.0,1526.0,1388.0,1560.0,2482.0,2109.0,1357.0,603.0,2593.0,1426.0,2385.0,11419.0,7009.0,6611.0,7378.0,8053.0,7386.0,6921.0,9743.0,10018.0,9274.0,2407.0,1194.0,794.0,2259.0,1058.0,0.0,2178.0,1301.0
SLU-21,1570.0,1929.0,1137.0,1525.0,2347.0,2059.0,2918.0,1699.0,2672.0,1766.0,2442.0,2224.0,3771.0,3227.0,3245.0,2789.0,2499.0,2143.0,2989.0,68.0,11627.0,757.0,1738.0,3764.0,2644.0,3544.0,3728.0,3730.0,3390.0,1210.0,741.0,258.0,783.0,1485.0,453.0,943.0,1625.0,10091.0,5311.0,4914.0,5681.0,6356.0,5689.0,5224.0,8416.0,8690.0,7946.0,2170.0,3348.0,2948.0,4326.0,1483.0,2178.0,0.0,1059.0
Pronto shop,841.0,793.0,476.0,647.0,1470.0,1182.0,2041.0,1019.0,1795.0,1932.0,2242.0,2093.0,3091.0,2547.0,2565.0,2109.0,1819.0,1463.0,3170.0,827.0,11668.0,1611.0,2611.0,4637.0,1964.0,2864.0,2851.0,2853.0,2513.0,1305.0,1196.0,824.0,549.0,608.0,1307.0,180.0,1459.0,10133.0,6185.0,5787.0,6554.0,7229.0,6562.0,6097.0,8458.0,9459.0,7988.0,1637.0,2471.0,2071.0,3646.0,803.0,1301.0,1059.0,0.0
